n, t, workers, frac, accesses, time
10, 1000, 8, 0.0125, 1, 0.0584728354588151
10, 1000, 15, 0.0125, 1, 0.05784909147769213
10, 1000, 1, 0.0125, 5, 0.2730827135965228
10, 1000, 2, 0.0125, 5, 0.14982495736330748
10, 1000, 4, 0.0125, 5, 0.08186773583292961
10, 1000, 8, 0.0125, 5, 0.06917064171284437
10, 1000, 15, 0.0125, 5, 0.0833524027839303
10, 1000, 1, 0.0125, 10, 0.27609642036259174
10, 1000, 2, 0.0125, 10, 0.14834551885724068
10, 1000, 4, 0.0125, 10, 0.08890208229422569
10, 1000, 8, 0.0125, 10, 0.07963966578245163
10, 1000, 15, 0.0125, 10, 0.10552682541310787
10, 2000, 1, 0.0125, 1, 0.4878481086343527
10, 2000, 2, 0.0125, 1, 0.2614176860079169
10, 2000, 4, 0.0125, 1, 0.14153680764138699
10, 2000, 8, 0.0125, 1, 0.09657423663884401
10, 2000, 15, 0.0125, 1, 0.08291492704302073
10, 2000, 1, 0.0125, 5, 0.4912977507337928
10, 2000, 2, 0.0125, 5, 0.259601172991097
10, 2000, 4, 0.0125, 5, 0.14281584043055773
10, 2000, 8, 0.0125, 5, 0.09905007854104042
10, 2000, 15, 0.0125, 5, 0.1042955070734024
10, 2000, 1, 0.0125, 10, 0.4925251333042979
10, 2000, 2, 0.0125, 10, 0.26028995867818594
10, 2000, 4, 0.0125, 10, 0.1456872085109353
10, 2000, 8, 0.0125, 10, 0.10308606550097466
10, 2000, 15, 0.0125, 10, 0.12233051378279924
10, 4000, 1, 0.0125, 1, 0.9286709232255816
10, 4000, 2, 0.0125, 1, 0.48805096372962
10, 4000, 4, 0.0125, 1, 0.2731885937973857
10, 4000, 8, 0.0125, 1, 0.17696716077625751
10, 4000, 15, 0.0125, 1, 0.13854762818664312
10, 4000, 1, 0.0125, 5, 0.9339435175061226
10, 4000, 2, 0.0125, 5, 0.4880704628303647
10, 4000, 4, 0.0125, 5, 0.26384917832911015
10, 4000, 8, 0.0125, 5, 0.1717185815796256
10, 4000, 15, 0.0125, 5, 0.1466427082195878
10, 4000, 1, 0.0125, 10, 0.9386606626212597
10, 4000, 2, 0.0125, 10, 0.48782092332839966
10, 4000, 4, 0.0125, 10, 0.2709759343415499
10, 4000, 8, 0.0125, 10, 0.1814910639077425
10, 4000, 15, 0.0125, 10, 0.1610490484163165
10, 8000, 1, 0.0125, 1, 1.8154773078858852
10, 8000, 2, 0.0125, 1, 0.9479072233662009
10, 8000, 4, 0.0125, 1, 0.5154810221865773
10, 8000, 8, 0.0125, 1, 0.3309358237311244
10, 8000, 15, 0.0125, 1, 0.273265203461051
10, 8000, 1, 0.0125, 5, 1.8190775699913502
10, 8000, 2, 0.0125, 5, 0.938715785741806
10, 8000, 4, 0.0125, 5, 0.5177661078050733
10, 8000, 8, 0.0125, 5, 0.3323169657960534
10, 8000, 15, 0.0125, 5, 0.26001254841685295
10, 8000, 1, 0.0125, 10, 1.8233070680871606
10, 8000, 2, 0.0125, 10, 0.9390963977202773
10, 8000, 4, 0.0125, 10, 0.5194663144648075
10, 8000, 8, 0.0125, 10, 0.3325307900086045
10, 8000, 15, 0.0125, 10, 0.26007410138845444
10, 16000, 1, 0.0125, 1, 3.5754321701824665
10, 16000, 2, 0.0125, 1, 1.8680676650255919
10, 16000, 4, 0.0125, 1, 1.0297944797202945
10, 16000, 8, 0.0125, 1, 0.6672677183523774
10, 16000, 15, 0.0125, 1, 0.5195085722953081
10, 16000, 1, 0.0125, 5, 3.5766963874921203
10, 16000, 2, 0.0125, 5, 1.8514948077499866
10, 16000, 4, 0.0125, 5, 1.0154435131698847
10, 16000, 8, 0.0125, 5, 0.645164180546999
10, 16000, 15, 0.0125, 5, 0.5030146846547723
10, 16000, 1, 0.0125, 10, 3.5852854838594794
10, 16000, 2, 0.0125, 10, 1.8503303965553641
10, 16000, 4, 0.0125, 10, 1.0169747890904546
10, 16000, 8, 0.0125, 10, 0.6462368164211512
10, 16000, 15, 0.0125, 10, 0.48574319761246443
10, 32000, 1, 0.0125, 1, 7.094167334958911
10, 32000, 2, 0.0125, 1, 3.697694292291999
10, 32000, 4, 0.0125, 1, 2.012104562483728
10, 32000, 8, 0.0125, 1, 1.2776963654905558
10, 32000, 15, 0.0125, 1, 1.0242857858538628
10, 32000, 1, 0.0125, 5, 7.099296891130507
10, 32000, 2, 0.0125, 5, 3.6630198983475566
10, 32000, 4, 0.0125, 5, 2.013553678058088
10, 32000, 8, 0.0125, 5, 1.2738093277439475
10, 32000, 15, 0.0125, 5, 0.9587656147778034
10, 32000, 1, 0.0125, 10, 7.104914161376655
10, 32000, 2, 0.0125, 10, 3.6597246760502458
10, 32000, 4, 0.0125, 10, 1.9841623771935701
10, 32000, 8, 0.0125, 10, 1.2725347811356187
10, 32000, 15, 0.0125, 10, 0.9849729649722576
20, 500, 1, 0.0125, 1, 1.1210643267259002
20, 500, 2, 0.0125, 1, 0.5461167497560382
20, 500, 4, 0.0125, 1, 0.29399238619953394
20, 500, 8, 0.0125, 1, 0.26049759332090616
20, 500, 15, 0.0125, 1, 0.3157660597935319
20, 500, 1, 0.0125, 5, 1.0700954180210829
20, 500, 2, 0.0125, 5, 0.5673364689573646
20, 500, 4, 0.0125, 5, 0.36957326624542475
20, 500, 8, 0.0125, 5, 0.3540547415614128
20, 500, 15, 0.0125, 5, 0.44752705842256546
20, 500, 1, 0.0125, 10, 1.1064071338623762
20, 500, 2, 0.0125, 10, 0.701665005646646
20, 500, 4, 0.0125, 10, 0.45445725787431
20, 500, 8, 0.0125, 10, 0.4879992036148906
20, 500, 15, 0.0125, 10, 0.556892559863627
20, 1000, 1, 0.0125, 1, 1.87829817738384
20, 1000, 2, 0.0125, 1, 0.9614066779613495
20, 1000, 4, 0.0125, 1, 0.5031667677685618
20, 1000, 8, 0.0125, 1, 0.294424450956285
20, 1000, 15, 0.0125, 1, 0.34417298436164856
20, 1000, 1, 0.0125, 5, 1.8356218598783016
20, 1000, 2, 0.0125, 5, 0.9484220668673515
20, 1000, 4, 0.0125, 5, 0.5284261545166373
20, 1000, 8, 0.0125, 5, 0.38173593394458294
20, 1000, 15, 0.0125, 5, 0.5193273518234491
20, 1000, 1, 0.0125, 10, 1.9482807200402021
20, 1000, 2, 0.0125, 10, 1.0131566831842065
20, 1000, 4, 0.0125, 10, 0.5824425788596272
20, 1000, 8, 0.0125, 10, 0.48060853499919176
20, 1000, 15, 0.0125, 10, 0.6577029712498188
20, 2000, 1, 0.0125, 1, 3.428922662511468
20, 2000, 2, 0.0125, 1, 1.7686260743066669
20, 2000, 4, 0.0125, 1, 0.9292860180139542
20, 2000, 8, 0.0125, 1, 0.4939867239445448
20, 2000, 15, 0.0125, 1, 0.3952329605817795
20, 2000, 1, 0.0125, 5, 3.4404677860438824
20, 2000, 2, 0.0125, 5, 1.7508439738303423
20, 2000, 4, 0.0125, 5, 0.9161716271191835
20, 2000, 8, 0.0125, 5, 0.5244689136743546
20, 2000, 15, 0.0125, 5, 0.573939848691225
20, 2000, 1, 0.0125, 10, 3.4932164065539837
20, 2000, 2, 0.0125, 10, 1.7816403899341822
20, 2000, 4, 0.0125, 10, 0.9349896293133497
20, 2000, 8, 0.0125, 10, 0.5982834761962295
20, 2000, 15, 0.0125, 10, 0.7420341558754444
20, 4000, 1, 0.0125, 1, 6.4301950465887785
20, 4000, 2, 0.0125, 1, 3.355053744278848
20, 4000, 4, 0.0125, 1, 1.7312753517180681
20, 4000, 8, 0.0125, 1, 0.9260704768821597
20, 4000, 15, 0.0125, 1, 0.5590276625007391
20, 4000, 1, 0.0125, 5, 6.550911485217512
20, 4000, 2, 0.0125, 5, 3.3082385351881385
20, 4000, 4, 0.0125, 5, 1.7134347716346383
20, 4000, 8, 0.0125, 5, 0.9114622361958027
20, 4000, 15, 0.0125, 5, 0.6080588959157467
20, 4000, 1, 0.0125, 10, 6.597124695777893
20, 4000, 2, 0.0125, 10, 3.3609801838174462
20, 4000, 4, 0.0125, 10, 1.727674382738769
20, 4000, 8, 0.0125, 10, 0.943149009719491
20, 4000, 15, 0.0125, 10, 0.8039178671315312
20, 8000, 1, 0.0125, 1, 12.649673759005964
20, 8000, 2, 0.0125, 1, 6.521800154820085
20, 8000, 4, 0.0125, 1, 3.3456478202715516
20, 8000, 8, 0.0125, 1, 1.7600484108552337
20, 8000, 15, 0.0125, 1, 1.074567075818777
20, 8000, 1, 0.0125, 5, 12.723932281136513
20, 8000, 2, 0.0125, 5, 6.449096655473113
20, 8000, 4, 0.0125, 5, 3.2731176037341356
20, 8000, 8, 0.0125, 5, 1.7300507901236415
20, 8000, 15, 0.0125, 5, 1.0651465840637684
20, 8000, 1, 0.0125, 10, 12.759392685256898
20, 8000, 2, 0.0125, 10, 6.466956157237291
20, 8000, 4, 0.0125, 10, 3.3205251451581717
20, 8000, 8, 0.0125, 10, 1.7514836322516203
20, 8000, 15, 0.0125, 10, 1.101490318775177
20, 16000, 1, 0.0125, 1, 25.00076533295214
20, 16000, 2, 0.0125, 1, 12.838812602683902
