n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
500, 2000, 2, 0, 10, 65771020, 6577.102, 5104.0, 0, nan, nan, 0
500, 2000, 4, 0, 10, 167802271, 8390.11355, 4994.5, 0, nan, nan, 0
500, 2000, 8, 0, 10, 1047788395, 26194.709875, 5703.0, 0, nan, nan, 0
500, 2000, 15, 0, 10, 31719136727.0, 422966.93950021337, 187256.5, 0, nan, nan, 0
500, 4000, 1, 0, 1, 3884247, 7768.494, 3866.0, 0, nan, nan, 0
500, 4000, 2, 0, 1, 10022475, 10022.475, 7905.5, 0, nan, nan, 0
500, 4000, 4, 0, 1, 76033361, 38016.6805, 19336.5, 0, nan, nan, 0
500, 4000, 8, 0, 1, 283355543, 70838.88575, 40879.0, 0, nan, nan, 0
500, 4000, 15, 0, 1, 1638214062, 218428.5416, 165369.0, 0, nan, nan, 0
500, 4000, 1, 0, 5, 7119447, 2847.7788, 2354.0, 0, nan, nan, 0
500, 4000, 2, 0, 5, 37250235, 7450.047, 5485.5, 0, nan, nan, 0
500, 4000, 4, 0, 5, 127438895, 12743.8895, 5401.0, 0, nan, nan, 0
500, 4000, 8, 0, 5, 340041667, 17002.08335, 5744.0, 0, nan, nan, 0
500, 4000, 15, 0, 5, 2456716433, 65512.438213333335, 6807.0, 0, nan, nan, 0
500, 4000, 1, 0, 10, 12938526, 2587.7052, 2144.0, 0, nan, nan, 0
500, 4000, 2, 0, 10, 62634114, 6263.4114, 5050.0, 0, nan, nan, 0
500, 4000, 4, 0, 10, 188564077, 9428.20385, 5108.0, 0, nan, nan, 0
500, 4000, 8, 0, 10, 541546012, 13538.6503, 5450.0, 0, nan, nan, 0
500, 4000, 15, 0, 10, 7335587679.0, 97813.05241612886, 13629.0, 0, nan, nan, 0
500, 8000, 1, 0, 1, 3327275, 6654.55, 3917.5, 0, nan, nan, 0
